symbol,date,volume,low,open,close,high,adjclose
^BVSP,2021-01-08,11085800.0,122386.0,122387.0,125199.0,125324.0,125199.0
^BVSP,2021-01-07,11774800.0,119101.0,119103.0,121956.0,121983.0,121956.0
^BVSP,2021-01-06,11638200.0,118917.0,119377.0,119851.0,120924.0,119851.0
^BVSP,2021-01-05,9257100.0,116756.0,118835.0,119223.0,119790.0,119223.0
^BVSP,2021-01-04,8741400.0,118062.0,119024.0,118558.0,120354.0,118558.0
^BVSP,2020-12-30,8235700.0,118919.0,119410.0,119306.0,120150.0,119306.0
^BVSP,2020-12-29,6769700.0,118750.0,119130.0,119475.0,119861.0,119475.0
^BVSP,2020-12-28,7171700.0,117805.0,117806.0,119051.0,119213.0,119051.0
^BVSP,2020-12-23,6483300.0,116636.0,116636.0,117857.0,118311.0,117857.0
^BVSP,2020-12-22,6947900.0,115648.0,115825.0,116348.0,116903.0,116348.0
^BVSP,2020-12-21,10347100.0,114730.0,118021.0,116016.0,118021.0,116016.0
^BVSP,2020-12-18,8636000.0,117639.0,118395.0,117679.0,119370.0,117679.0
^BVSP,2020-12-17,7701400.0,117856.0,117864.0,118157.0,119027.0,118157.0
^BVSP,2020-12-16,9808100.0,115496.0,116149.0,117947.0,118178.0,117947.0
^BVSP,2020-12-15,8195100.0,114613.0,114613.0,116146.0,116390.0,116146.0
^BVSP,2020-12-14,8190900.0,114431.0,115137.0,114975.0,115740.0,114975.0
^BVSP,2020-12-11,8372300.0,113949.0,115128.0,115323.0,115527.0,115323.0
^BVSP,2020-12-10,11803600.0,112732.0,113002.0,114992.0,115262.0,114992.0
^BVSP,2020-12-09,8431100.0,112567.0,113799.0,112722.0,114020.0,112722.0
^BVSP,2020-12-08,8810900.0,112820.0,113590.0,113571.0,114381.0,113571.0
^BVSP,2020-12-07,9633900.0,112629.0,113751.0,113625.0,114531.0,113625.0
^BVSP,2020-12-04,8892900.0,112294.0,112294.0,113682.0,113864.0,113682.0
^BVSP,2020-12-03,11474200.0,111874.0,111874.0,112919.0,113377.0,112919.0
^BVSP,2020-12-02,9814300.0,110579.0,111402.0,111814.0,112315.0,111814.0
^BVSP,2020-12-01,11324800.0,108897.0,108897.0,111335.0,111840.0,111335.0
^BVSP,2020-11-30,19300000.0,108829.0,110598.0,108888.0,110934.0,108888.0
^BVSP,2020-11-27,8790300.0,110161.0,110229.0,110575.0,111603.0,110575.0
^BVSP,2020-11-26,6166800.0,109418.0,110133.0,110227.0,110245.0,110227.0
^BVSP,2020-11-25,8564700.0,109315.0,109786.0,110133.0,110596.0,110133.0
^BVSP,2020-11-24,11934800.0,107361.0,107378.0,109786.0,109956.0,109786.0
^BVSP,2020-11-23,9686000.0,106050.0,106050.0,107379.0,107495.0,107379.0
^BVSP,2020-11-19,8555700.0,105545.0,106117.0,106517.0,106973.0,106517.0
^BVSP,2020-11-18,10337300.0,106217.0,107246.0,106483.0,107467.0,106483.0
^BVSP,2020-11-17,10311000.0,105847.0,106430.0,107229.0,107810.0,107229.0
^BVSP,2020-11-16,11724300.0,104729.0,104729.0,106430.0,106518.0,106430.0
^BVSP,2020-11-13,9772100.0,102509.0,102509.0,104512.0,104707.0,104512.0
^BVSP,2020-11-12,10860300.0,102034.0,104810.0,102175.0,105019.0,102175.0
^BVSP,2020-11-11,10841000.0,104143.0,105067.0,104532.0,105462.0,104532.0
^BVSP,2020-11-10,16665200.0,103453.0,103516.0,105351.0,105758.0,105351.0
^BVSP,2020-11-09,17410500.0,100954.0,100954.0,103913.0,105147.0,103913.0
^BVSP,2020-11-06,8382800.0,99837.0,100751.0,100799.0,100928.0,100799.0
^BVSP,2020-11-05,10455300.0,97872.0,97873.0,100774.0,100922.0,100774.0
^BVSP,2020-11-04,10704600.0,95987.0,95992.0,97811.0,98296.0,97811.0
^BVSP,2020-11-03,10191800.0,93968.0,93968.0,95587.0,96250.0,95587.0
^BVSP,2020-10-30,10643200.0,93559.0,96579.0,93952.0,96579.0,93952.0
^BVSP,2020-10-29,12704400.0,93387.0,95368.0,96582.0,96688.0,96582.0
